topology1,tau_AB1,tau_ABC1,tau_Root1,p_AB1,p_ABC1,p_Root1,topology2,tau_AB2,tau_ABC2,tau_Root2,p_AB2,p_ABC2,p_Root2,Change,how many changes,Location change in length,Location change in population,Number of trees,Number of repetitions,Power
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,30000,10000,10000,10000,none,0,0,0,100,100,0.18
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,30000,10000,10000,10000,none,0,0,0,100,100,0.16
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,30000,10000,10000,10000,none,0,0,0,100,100,0.10
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,30000,10000,10000,10000,none,0,0,0,100,100,0.09
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,30000,10000,10000,10000,none,0,0,0,100,100,0.15
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,25000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.84
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,25000,30000,10000,10000,10000,length,1,tauABC,0,100,200,0.76
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,25000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.83
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,25000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.88
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,25000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.75
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,15000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.91
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,15000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.84
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,15000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.87
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,15000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.89
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,15000,30000,10000,10000,10000,length,1,tauABC,0,100,100,0.85
CAT,10000,20000,30000,10000,10000,10000,CAT,5000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.69
CAT,10000,20000,30000,10000,10000,10000,CAT,5000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,1.00
CAT,10000,20000,30000,10000,10000,10000,CAT,5000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.63
CAT,10000,20000,30000,10000,10000,10000,CAT,5000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.57
CAT,10000,20000,30000,10000,10000,10000,CAT,5000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,1.00
CAT,10000,20000,30000,10000,10000,10000,CAT,15000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.66
CAT,10000,20000,30000,10000,10000,10000,CAT,15000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.77
CAT,10000,20000,30000,10000,10000,10000,CAT,15000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.67
CAT,10000,20000,30000,10000,10000,10000,CAT,15000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.68
CAT,10000,20000,30000,10000,10000,10000,CAT,15000,20000,30000,10000,10000,10000,length,1,tauAB,0,100,100,0.68
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,25000,10000,10000,10000,length,1,tauRoot,0,100,100,0.91
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,25000,10000,10000,10000,length,1,tauRoot,0,100,100,0.89
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,25000,10000,10000,10000,length,1,tauRoot,0,100,100,0.93
CAT,10000,20000,30000,10000,10000,10000,CAT,10000,20000,25000,10000,10000,10000,length,1,tauRoot,0,100,100,0.88
