Locus,nA,nB,a1,Ea1,Va1,dev,pval_exact,pval_normal,elapsed_seconds,timestamp,status,error
1,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.755,2025-09-17T16:45:21,OK,
2,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.772,2025-09-17T16:45:24,OK,
3,50,50,24,25.252525252525253,12.62757745107011,-0.35247349925935323,0.4714426298566601,0.36224159469823247,3.803,2025-09-17T16:45:28,OK,
4,50,50,2,25.252525252525253,12.62757745107011,-6.5434999620567025,1.5674255246168247e-12,3.004775001123545e-11,3.799,2025-09-17T16:45:32,OK,
5,50,50,16,25.252525252525253,12.62757745107011,-2.60375584936748,0.009034994016720109,0.0046104208364688695,3.853,2025-09-17T16:45:36,OK,
6,50,50,10,25.252525252525253,12.62757745107011,-4.292217611948575,1.512647973575484e-05,8.844872564048202e-06,3.861,2025-09-17T16:45:40,OK,
7,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.854,2025-09-17T16:45:44,OK,
8,50,50,2,25.252525252525253,12.62757745107011,-6.5434999620567025,1.5674255246168247e-12,3.004775001123545e-11,3.825,2025-09-17T16:45:47,OK,
9,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.888,2025-09-17T16:45:51,OK,
10,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.866,2025-09-17T16:45:55,OK,
11,50,50,4,25.252525252525253,12.62757745107011,-5.980679374529671,3.022725621417535e-10,1.1110443902300278e-09,3.856,2025-09-17T16:45:59,OK,
12,50,50,6,25.252525252525253,12.62757745107011,-5.417858787002639,2.1512008198203788e-08,3.0158512303186625e-08,3.839,2025-09-17T16:46:03,OK,
13,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.82,2025-09-17T16:46:07,OK,
14,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.842,2025-09-17T16:46:11,OK,
15,50,50,16,25.252525252525253,12.62757745107011,-2.60375584936748,0.009034994016720109,0.0046104208364688695,3.819,2025-09-17T16:46:14,OK,
16,50,50,12,25.252525252525253,12.62757745107011,-3.7293970244215435,0.00018932910842661102,9.596926254487517e-05,3.977,2025-09-17T16:46:18,OK,
17,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.77,2025-09-17T16:46:22,OK,
18,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.829,2025-09-17T16:46:26,OK,
19,50,50,8,25.252525252525253,12.62757745107011,-4.855038199475607,7.547628687592056e-07,6.018176944841915e-07,3.837,2025-09-17T16:46:30,OK,
20,50,50,6,25.252525252525253,12.62757745107011,-5.417858787002639,2.1512008198203788e-08,3.0158512303186625e-08,3.798,2025-09-17T16:46:34,OK,
21,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.787,2025-09-17T16:46:37,OK,
22,50,50,12,25.252525252525253,12.62757745107011,-3.7293970244215435,0.00018932910842661102,9.596926254487517e-05,3.741,2025-09-17T16:46:41,OK,
23,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.833,2025-09-17T16:46:45,OK,
24,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.814,2025-09-17T16:46:49,OK,
25,50,50,26,25.252525252525253,12.62757745107011,0.2103470882676785,0.6900716936154259,0.5833016069207873,3.755,2025-09-17T16:46:53,OK,
26,50,50,22,25.252525252525253,12.62757745107011,-0.9152940867863849,0.2612223762424622,0.18001863128386836,3.827,2025-09-17T16:46:56,OK,
27,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.779,2025-09-17T16:47:00,OK,
28,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.797,2025-09-17T16:47:04,OK,
29,50,50,12,25.252525252525253,12.62757745107011,-3.7293970244215435,0.00018932910842661102,9.596926254487517e-05,3.814,2025-09-17T16:47:08,OK,
30,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.782,2025-09-17T16:47:12,OK,
31,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.916,2025-09-17T16:47:15,OK,
32,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.838,2025-09-17T16:47:19,OK,
33,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.855,2025-09-17T16:47:23,OK,
34,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.8,2025-09-17T16:47:27,OK,
35,50,50,4,25.252525252525253,12.62757745107011,-5.980679374529671,3.022725621417535e-10,1.1110443902300278e-09,3.861,2025-09-17T16:47:31,OK,
36,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.916,2025-09-17T16:47:35,OK,
37,50,50,10,25.252525252525253,12.62757745107011,-4.292217611948575,1.512647973575484e-05,8.844872564048202e-06,3.872,2025-09-17T16:47:38,OK,
38,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.771,2025-09-17T16:47:42,OK,
39,50,50,20,25.252525252525253,12.62757745107011,-1.4781146743134166,0.11321015686103715,0.0696885434909273,3.876,2025-09-17T16:47:46,OK,
40,50,50,14,25.252525252525253,12.62757745107011,-3.1665764368945117,0.0015714642503474698,0.0007712240156018504,3.831,2025-09-17T16:47:50,OK,
41,50,50,18,25.252525252525253,12.62757745107011,-2.0409352618404486,0.037230550911905635,0.020628631154983205,3.92,2025-09-17T16:47:54,OK,
